# 推薦模型訓練回饋：每筆案例的負面推薦（模型目前推錯的前5項）與正向推薦（應推薦的正確職類與順序）。優化緣由：推薦項目命中率改善＝原本完全沒命中需救回；順序調整＝有推到但排在第6~10名需調進前5。正向推薦來源為廠商實際送出職類，不足5項即留白（不補值）。
職缺名稱,負面推薦1,負面推薦2,負面推薦3,負面推薦4,負面推薦5,正向推薦1,正向推薦2,正向推薦3,正向推薦4,正向推薦5,優化緣由
【內勤】文書作業人員(台北市中正區)#W12,內勤業務,客服人員,電話客服人員,票務人員／旅行社人員,廣告文案企劃人員,電腦操作／資料輸入,工讀生,行政助理,,,順序調整
工程部-機構工程師,電機工程主管,PLC／自動控制工程師,結構技師／工程師,設備工程主管,電機技師／工程師,機械工程師,機構工程師,機械設計／繪圖人員,,,順序調整
塑膠射出模具工程師,智慧製程工程師,電機技師／工程師,PLC／自動控制工程師,電機設備裝配員,電機工程主管,機械工程師,機構工程師,機械設計／繪圖人員,,,順序調整
研發機構工程師 / 機械設計製圖人員,零組件工程師,汽車研發人員,電子工程師,材料研發人員,工業設計,機械工程師,機構工程師,機械設計／繪圖人員,,,順序調整
機械設備工程師(義联集團-生產事業體),PLC／自動控制工程師,電機技師／工程師,電機設備裝配員,智慧製程工程師,水電工,機械工程師,機構工程師,機械設計／繪圖人員,,,順序調整
"助理工程師(薪38,000-42,000)",工程助理,冷凍空調繪圖／設計,光電／半導體工程助理,室內設計助理,CNC程式設計師,機械工程師,機構工程師,機械設計／繪圖人員,,,順序調整
晚班工讀,遊樂景點工作人員,休閒娛樂事業從業人員,售票／收銀人員,門市／店員／專櫃人員,冷熱飲調製人員,飯店／旅館服務人員,飯店／旅館櫃檯人員,工讀生,,,順序調整
★幸福企業金獎★福勝亭南崁店-計時人員,冷熱飲調製人員,調酒師／吧台人員,洗碗人員,侍酒師,飯店／旅館服務人員,餐飲服務人員,門市／店員／專櫃人員,工讀生,,,順序調整
計時/兼職夥伴-北榮義美(時薪$210起),冷熱飲調製人員,調酒師／吧台人員,洗碗人員,外送人員,餐廚助手,餐飲服務人員,門市／店員／專櫃人員,工讀生,,,順序調整
【 路易莎咖啡-北港門市】假日兼職人員,調酒師／吧台人員,侍酒師,冷熱飲調製人員,飯店／旅館服務人員,咖啡師,餐飲服務人員,門市／店員／專櫃人員,工讀生,,,順序調整
計時/兼職夥伴-北榮義美~急徵早餐夥伴(時薪$210起),洗碗人員,冷熱飲調製人員,調酒師／吧台人員,外送人員,餐廚助手,餐飲服務人員,門市／店員／專櫃人員,工讀生,,,順序調整
【早班9:30~16:00】老乾杯 SOGO復興店-外場計時社員『最高時薪280元！』C12P4,調酒師／吧台人員,冷熱飲調製人員,洗碗人員,餐廚助手,西式廚師,餐飲服務人員,門市／店員／專櫃人員,工讀生,,,順序調整
【中班12:00~16:00】老乾杯 SOGO復興店-外場計時社員『最高時薪280元！』C12P4,冷熱飲調製人員,調酒師／吧台人員,洗碗人員,餐廚助手,西式廚師,餐飲服務人員,門市／店員／專櫃人員,工讀生,,,順序調整
【晚班18:00~23:00】老乾杯 南西店-外場計時社員『最高時薪280元！』C11P4,調酒師／吧台人員,冷熱飲調製人員,洗碗人員,西式廚師,餐廚助手,餐飲服務人員,門市／店員／專櫃人員,工讀生,,,順序調整
老乾杯 SOGO復興店-外場計時社員『最高時薪280元！』C12P4,調酒師／吧台人員,冷熱飲調製人員,洗碗人員,侍酒師,餐廚助手,餐飲服務人員,門市／店員／專櫃人員,工讀生,,,順序調整
Da Vinci Lounge Bar - 正職人員..儲備幹部,品管／品保主管,調酒師／吧台人員,儲備幹部,資材主管,店長／門市管理人員,餐飲服務人員,門市／店員／專櫃人員,工讀生,,,順序調整
工地助理(屏東-潮州),室內設計助理,冷凍空調繪圖／設計,設計助理,軟體助理工程師,工務助理,工程助理,行政人員,行政助理,,,順序調整
工務部-助理(總管理處),軟體助理工程師,冷凍空調繪圖／設計,設計助理,UI/UX設計師,室內設計助理,工務助理,行政人員,行政助理,,,順序調整
誠徵衛生福利部專案計畫助理1名,UI/UX設計師,資訊助理人員,室內設計助理,特別助理,設計助理,助理研究人員,行政人員,行政助理,,,順序調整
DL-【外商知名藥廠_Omnichannel Project Coordinator專案助理(行銷部門)】(信義區近市政府捷運站/環境佳),國貿助理,採購助理,秘書,行銷企劃助理,業務助理,專案經理,行政人員,行政助理,,,順序調整
國立臺灣大學醫學系內科徵臨床研究助理,病理藥理研究人員,其他研究人員,助理研究人員,其他醫療從業人員,臨床／實驗室研究人員,研究助理,行政人員,行政助理,,,順序調整
行政-骨科部-研究助理,UI/UX設計師,資料庫管理人員,CAD／CAM工程師,軟體助理工程師,設計助理,研究助理,行政人員,行政助理,,,順序調整
開發助理,設計助理,軟體助理工程師,室內設計助理,生管／助理,冷凍空調繪圖／設計,行政人員,機械設計／繪圖人員,行政助理,,,順序調整
機電品管工程師,PLC／自動控制工程師,電機設備裝配員,電機技師／工程師,水電工程師,水電工,工地品管員／工程師,品管／品保主管,電機工程主管,,,順序調整
電機維修人員,電器產品維修人員,電子設備維修人員,維修技術人員,產品設備維修人員,通信維修人員,電機技師／工程師,電機維修人員,電機工程主管,,,順序調整
【製程高階】食品廠長,智慧製程工程師,品管人員,檢驗人員,電機技師／工程師,水電工,工廠高階主管,生管主管,製程主管,,,順序調整
廠務經理,工廠高階主管,領班／管理幹部,廠務助理,廠務,運輸物流類主管,機械工程主管,生管主管,製程主管,,,順序調整
★人生第一桶金★【高雄地區】餐飲服務 店副理/店襄理,調酒師／吧台人員,冷熱飲調製人員,門市／店員／專櫃人員,侍酒師,餐廚助手,餐飲主管,餐飲服務人員,店長／門市管理人員,,,順序調整
★人生第一桶金★【台南地區】餐飲服務 店副理/店襄理,調酒師／吧台人員,冷熱飲調製人員,門市／店員／專櫃人員,侍酒師,餐廚助手,餐飲主管,餐飲服務人員,店長／門市管理人員,,,順序調整
【連鎖餐飲集團 拉亞漢堡永和安樂門市店經理】薪資42K~45K(獎金另計),調酒師／吧台人員,西式廚師,冷熱飲調製人員,餐飲服務人員,門市／店員／專櫃人員,餐飲主管,餐飲領班,店長／門市管理人員,,,順序調整
儲備幹部,儲備幹部,基層管理幹部,經營管理主管,特別助理,人事／人力資源專員,餐飲服務人員,餐飲領班,店長／門市管理人員,,,順序調整
★人生第一桶金★【台中地區】餐飲服務 店副理/店襄理,調酒師／吧台人員,冷熱飲調製人員,門市／店員／專櫃人員,侍酒師,售票／收銀人員,餐飲主管,餐飲服務人員,店長／門市管理人員,,,順序調整
★人生第一桶金★【台北地區】餐飲服務 店副理/店襄理,調酒師／吧台人員,冷熱飲調製人員,門市／店員／專櫃人員,侍酒師,餐廚助手,餐飲主管,餐飲服務人員,店長／門市管理人員,,,順序調整
★人生第一桶金★【宜蘭地區】餐飲服務 店副理/店襄理,調酒師／吧台人員,冷熱飲調製人員,門市／店員／專櫃人員,侍酒師,餐廚助手,餐飲主管,餐飲服務人員,店長／門市管理人員,,,順序調整
【台中最暖胃的所在】黑毛屋本家 台中市政店-內場領班 #一起把日常煮的不平凡,調酒師／吧台人員,餐飲服務人員,餐廚助手,冷熱飲調製人員,門市／店員／專櫃人員,餐飲主管,餐飲領班,店長／門市管理人員,,,順序調整
【千壹方】外場人員,調酒師／吧台人員,冷熱飲調製人員,洗碗人員,餐廚助手,門市／店員／專櫃人員,餐飲服務人員,餐飲領班,店長／門市管理人員,,,順序調整
"【藏王極上鍋物】天母店-店長60,000",調酒師／吧台人員,侍酒師,飯店／旅館服務人員,門市／店員／專櫃人員,冷熱飲調製人員,餐飲主管,餐飲服務人員,店長／門市管理人員,,,順序調整
享溫馨打享野鍋-岡山店 副店長,調酒師／吧台人員,侍酒師,飯店／旅館服務人員,冷熱飲調製人員,門市／店員／專櫃人員,餐飲主管,餐飲服務人員,店長／門市管理人員,,,順序調整
早安美芝城 （中和景新概念店）早餐 門市正職人員（月休6天）,冷熱飲調製人員,調酒師／吧台人員,洗碗人員,西式廚師,餐廚助手,餐飲服務人員,門市／店員／專櫃人員,店長／門市管理人員,,,順序調整
計時/兼職夥伴-內湖數位大樓 (時薪$210起),調酒師／吧台人員,冷熱飲調製人員,飯店／旅館服務人員,外送人員,侍酒師,餐飲服務人員,門市／店員／專櫃人員,店長／門市管理人員,,,順序調整
計時/兼職夥伴-內湖大全聯 (時薪$210起),冷熱飲調製人員,洗碗人員,調酒師／吧台人員,外送人員,餐廚助手,餐飲服務人員,門市／店員／專櫃人員,店長／門市管理人員,,,順序調整
早安美芝城 (永和竹林概念店）早餐 門市正職人員（月休6天）,調酒師／吧台人員,冷熱飲調製人員,西式廚師,洗碗人員,餐廚助手,餐飲服務人員,門市／店員／專櫃人員,店長／門市管理人員,,,順序調整
【MAGiC TOUCH 点爭鮮】 台南文化店-正職人員,調酒師／吧台人員,冷熱飲調製人員,西式廚師,餐廚助手,洗碗人員,餐飲服務人員,門市／店員／專櫃人員,店長／門市管理人員,,,順序調整
【肉多多/明水然品牌 高雄區 】內外場正職/儲備幹部/廚務主管/儲備店主管- 米其林指標/有熱情、挑戰米其林等級夥伴,品管／品保主管,餐廚助手,餐飲主管,其他料理廚師,調酒師／吧台人員,餐飲服務人員,門市／店員／專櫃人員,店長／門市管理人員,,,順序調整
【樹林三峽區】急徵Lasy才藝儲備教師,智慧製程工程師,資材人員,美術老師,木工,PLC／自動控制工程師,才藝類老師,幼教老師,工讀生,,,順序調整
國中全科輔導老師,國中教師,高中職教師,國小教師,作文老師,安親課輔老師,數理補習班老師,升學補習班老師,工讀生,,,順序調整
【すき家 SUKIYA】★大夜班時薪330元起(含全勤津貼獎金)★ 信義安和店,調酒師／吧台人員,冷熱飲調製人員,洗碗人員,門市／店員／專櫃人員,西式廚師,餐廚助手,餐飲服務人員,工讀生,,,順序調整
【五星麵舖】台南南紡店-外場計時,調酒師／吧台人員,冷熱飲調製人員,侍酒師,洗碗人員,外送人員,餐廚助手,餐飲服務人員,工讀生,,,順序調整
【開丼】台中新光店-兼職夥伴,調酒師／吧台人員,侍酒師,冷熱飲調製人員,門市／店員／專櫃人員,飯店／旅館服務人員,餐廚助手,餐飲服務人員,工讀生,,,順序調整
【台中高鐵食堂】兼職計時人員★時薪205元起★,調酒師／吧台人員,冷熱飲調製人員,飯店／旅館服務人員,洗碗人員,侍酒師,餐廚助手,餐飲服務人員,工讀生,,,順序調整
【日商】岡山樂購店-計時工讀生,冷熱飲調製人員,調酒師／吧台人員,飯店／旅館服務人員,外送人員,門市／店員／專櫃人員,餐廚助手,餐飲服務人員,工讀生,,,順序調整
《一風堂》林口三井店假日計時(彈性排班、無經驗可、免費員餐),調酒師／吧台人員,冷熱飲調製人員,洗碗人員,侍酒師,西式廚師,餐廚助手,餐飲服務人員,工讀生,,,順序調整
「薪196」計時服務人員,冷熱飲調製人員,調酒師／吧台人員,洗碗人員,飯店／旅館服務人員,門市／店員／專櫃人員,餐廚助手,餐飲服務人員,工讀生,,,順序調整
【すき家 SUKIYA】★大夜班時薪258元起(含全勤加津貼)★ 新莊店,洗碗人員,調酒師／吧台人員,冷熱飲調製人員,門市／店員／專櫃人員,生鮮處理人員,餐廚助手,餐飲服務人員,工讀生,,,順序調整
【すき家 SUKIYA】★大夜班時薪258元起(含全勤加津貼)★ 頂埔店,洗碗人員,調酒師／吧台人員,冷熱飲調製人員,門市／店員／專櫃人員,生鮮處理人員,餐廚助手,餐飲服務人員,工讀生,,,順序調整
【すき家 SUKIYA】★大夜班時薪258元起(含全勤加津貼)★ 泰山明志店,調酒師／吧台人員,冷熱飲調製人員,洗碗人員,門市／店員／專櫃人員,外送人員,餐廚助手,餐飲服務人員,工讀生,,,順序調整
【狂一鍋高雄義享店】計時人員 - 米其林指標/有熱情、挑戰米其林等級夥伴,調酒師／吧台人員,侍酒師,飯店／旅館服務人員,冷熱飲調製人員,門市／店員／專櫃人員,餐廚助手,餐飲服務人員,工讀生,,,順序調整
『最高280元！』乾杯 桃園華泰名品城店-計時社員 A22P4,冷熱飲調製人員,調酒師／吧台人員,洗碗人員,門市／店員／專櫃人員,侍酒師,餐廚助手,餐飲服務人員,工讀生,,,順序調整
【乾杯】黑毛屋 新莊宏匯店-乾杯之星『最高時薪280元！』-F15P4,調酒師／吧台人員,冷熱飲調製人員,西式廚師,洗碗人員,門市／店員／專櫃人員,餐廚助手,餐飲服務人員,工讀生,,,順序調整
【日商】小碧潭京站店-計時工讀生,冷熱飲調製人員,調酒師／吧台人員,外送人員,飯店／旅館服務人員,洗碗人員,餐廚助手,餐飲服務人員,工讀生,,,順序調整
饞鬥鍋物(淡水水源店)內場晚班工讀生,飯店／旅館服務人員,調酒師／吧台人員,門市／店員／專櫃人員,侍酒師,冷熱飲調製人員,餐廚助手,餐飲服務人員,工讀生,,,順序調整
計時人員【瑞玲外省仔麵｜台南永康】,冷熱飲調製人員,調酒師／吧台人員,洗碗人員,外送人員,侍酒師,餐廚助手,餐飲服務人員,工讀生,,,順序調整
